10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,fund_id,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category
0.75,1.16,3.58,22.32,5.82,0.01,0.97,7.07,87967b67-3343-4593-9ab4-85e221fecda6,0.0,0.05,7.29,0.01,0.01,0.03,0.6,4.56
0.73,0.95,-1.64,78.11,15.46,0.01,1.08,13.46,c69f27d6-e237-41b7-adff-bb4ea74238d5,0.01,0.13,14.94,-0.02,0.01,0.18,1.27,16.24
0.0,1.49,7.09,0.05,4.66,0.01,-0.04,-194.5,cbac7f57-fd75-4b76-aed4-e1db99419628,0.01,4.68,7.56,0.06,0.0,0.05,0.62,6.69
0.56,0.3,-8.37,59.5,23.67,0.0,1.31,3.47,db115744-50b0-4df8-bd55-8bd20e1b12ff,0.01,0.02,5.0,-0.11,0.01,0.26,0.64,2.97
0.03,1.26,7.77,2.51,7.21,0.01,0.4,23.06,31fb338d-c2df-4e23-8924-89477bbb70d3,0.01,0.23,9.69,0.08,0.0,0.07,0.8,9.49
0.91,0.74,2.55,92.95,15.16,0.01,0.93,11.37,5d8d6435-0950-48dd-abea-5a89c76db7a6,0.01,0.1,11.0,0.02,0.01,0.15,0.97,9.97
0.94,1.18,0.13,95.93,11.23,0.01,0.87,15.59,36d72c39-bcfe-45df-8a79-53ce9c17801d,0.01,0.14,13.97,-0.01,0.01,0.13,1.15,14.54
0.76,0.77,-5.03,79.15,17.18,0.01,1.2,10.42,73ca16e2-3d1a-48fe-9605-b1f2a6057e68,0.01,0.12,13.01,-0.03,0.01,0.17,1.15,14.67
0.91,,,,,0.01,,,4dbfa87e-b3d5-4a8f-812b-8cb672f4e481,0.01,0.1,0.0,0.02,0.01,0.15,,9.97
0.96,,,,,0.01,,,20cd9b8b-9b21-4f84-bc3b-51d5d641924c,0.01,0.09,0.0,-0.0,0.01,0.08,,8.81
0.75,1.09,0.04,86.8,2.95,0.01,0.97,3.36,a9000b3b-bd72-4f72-8260-7c9771521245,0.0,0.05,3.7,0.01,0.01,0.03,0.31,4.56
0.82,0.59,1.96,57.42,13.7,0.01,0.66,11.26,64a2ce8e-f58d-4207-a592-9058c9329140,0.01,0.08,7.88,-0.0,0.01,0.19,0.71,8.92
0.75,1.7,2.31,71.93,3.15,0.01,0.94,5.86,e35d638c-a61e-4f96-b7c8-c0aa4f4b13e1,0.0,0.05,5.98,0.01,0.01,0.03,0.49,4.56
0.63,0.84,0.15,53.14,4.78,0.01,0.43,9.34,2812cca6-840c-426a-95e6-0e38f89c3359,0.0,0.06,4.47,-0.01,0.01,0.07,0.38,4.77
0.17,,,,,0.01,,,f47c7295-f8e1-4dfb-800e-7f426066053c,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.61,0.59,-0.41,67.88,1.12,0.01,0.32,2.03,1e88ab20-bb6d-4970-be68-1d9bb00474f5,0.0,0.02,1.11,-0.0,0.0,0.01,0.09,1.23
0.84,1.0,5.04,80.81,10.66,0.01,0.61,17.52,2a8fe5c3-f08f-4242-98b9-6659209fe418,0.01,0.14,11.11,0.04,0.01,0.14,0.93,11.79
0.9,0.86,-3.57,85.12,14.74,0.01,1.07,11.53,519284dc-41c6-420f-9b98-d3a1e1778811,0.01,0.14,12.8,-0.02,0.01,0.13,1.1,13.68
0.89,,,,,0.01,,,fafdcb21-1a86-4780-bf2f-548d3e54ccb4,0.01,0.07,0.0,-0.02,0.01,0.1,,8.38
0.0,,,,,0.01,,,af95628b-54e7-4db9-abc1-ac846d41d449,0.01,4.68,0.0,0.06,0.0,0.05,,6.69
0.88,1.14,0.85,80.19,13.71,0.01,0.97,16.25,725988cd-1a78-4e8c-a715-79a25a44d724,0.01,0.15,16.15,-0.01,0.01,0.14,1.33,15.94
0.76,0.84,-4.22,80.18,18.38,0.01,1.3,11.43,ced84fd4-edf8-4e26-a758-72abf7d80bac,0.01,0.12,15.27,-0.03,0.01,0.17,1.33,14.67
0.8,-0.56,12.72,55.8,38.38,-0.01,-2.26,11.36,531fedb0-390c-4a71-bee9-3f86c978fc3e,-0.02,0.16,-25.19,-0.01,-0.02,0.24,-1.77,-24.99
0.54,,,,,0.01,,,95e2ce00-f760-4c6c-a65c-e9f9059401de,0.01,0.11,0.0,-0.02,0.01,0.1,,7.08
0.17,,,,,0.01,,,196a0bf8-33f2-471c-96ca-28356514d576,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.85,1.01,-0.96,80.52,14.15,0.01,1.0,14.18,04d574fa-0de5-44ee-877b-60fc4827ed92,0.01,0.13,14.63,-0.03,0.01,0.15,1.23,14.51
0.47,0.74,8.69,43.4,25.06,0.01,1.05,15.94,090ced6c-03a3-43db-a565-0dc6eed7482e,0.01,0.11,17.16,0.04,0.01,0.25,1.57,12.04
0.92,1.06,-0.2,95.25,4.3,0.01,1.12,4.08,d539245d-d039-4356-8af8-89e21d5fa973,0.0,0.04,5.04,-0.01,0.01,0.04,0.42,4.22
0.94,1.08,-1.43,98.05,13.7,0.01,1.07,13.92,15352561-d84b-4684-b4d4-9f9d360debb5,0.01,0.14,15.33,-0.01,0.01,0.13,1.27,14.54
0.84,1.08,6.62,79.94,11.98,0.01,0.68,19.09,567292a3-e670-42ac-9341-16aa6f8c34fa,0.01,0.14,13.44,0.04,0.01,0.14,1.12,11.79
0.95,0.93,-1.37,95.02,8.81,0.01,1.06,7.68,1c68a80b-1a3c-4740-932e-ad2ad1b25fa4,0.01,0.08,8.57,-0.01,0.01,0.1,0.72,10.79
0.94,0.49,-1.21,93.28,15.44,0.01,0.95,7,70c32069-bd11-4dbe-8b62-93a6823ce81a,0.01,0.08,7.07,-0.0,0.01,0.16,0.67,8.43
0.88,1.11,-1.05,98.74,12.76,0.01,1.0,14.26,7ec74012-e93c-497d-b0a1-cd042f3a3b2e,0.01,0.15,14.7,-0.01,0.01,0.14,1.22,15.94
0.85,0.93,-3.05,86.46,16.74,0.01,1.23,12.45,d4a1b26f-f3e7-4067-8420-83f8cfcb6b28,0.01,0.12,15.72,-0.03,0.01,0.16,1.34,14.46
0.82,1.0,-0.68,76.04,16.43,0.01,1.13,14.47,b688d1cc-14df-497a-bb82-448106c3f7e1,0.01,0.14,16.78,-0.02,0.01,0.16,1.41,15.7
0.96,,,,,0.01,,,29c7b079-65a2-41a3-a1c8-03035591c016,0.01,0.09,0.0,-0.0,0.01,0.08,,8.81
0.94,0.52,-0.84,94.58,15.62,0.01,0.96,7.43,5c98a5a8-5e85-4986-b6af-3348002f7469,0.01,0.08,7.61,-0.0,0.01,0.16,0.71,8.43
0.91,0.54,-0.42,95.21,14.16,0.01,1.41,4.93,54026752-7eec-4ea9-be54-b5dcee6b489f,0.01,0.08,7.27,-0.02,0.02,0.13,0.67,12.56
0.94,1.15,2.22,54.29,6.67,0.01,0.61,12.82,58e969c0-ef2b-4dd8-b825-2eafeed0c6c2,0.01,0.09,8.22,-0.0,0.01,0.08,0.68,9.23
0.46,0.92,7.17,44.79,20.26,0.01,0.97,18.77,d888aa4a-71b9-4a90-9b7b-e688d62e1144,0.01,0.19,18.73,0.07,0.01,0.18,1.6,17.24
0.82,,,,,0.01,,,475f7f54-e2b0-4b98-9d5c-150bf24a6219,0.01,0.14,0.0,-0.02,0.01,0.16,,15.7
0.9,0.98,-2.52,95.93,13.28,0.01,1.03,12.65,43556db8-0db5-4f65-aecc-d245b550bfaa,0.01,0.14,13.43,-0.02,0.01,0.13,1.13,13.68
0.97,,,,,0.01,,,3afee0c7-a3f4-462d-9baf-26382bbec14a,0.01,0.08,0.0,-0.02,0.02,0.13,,12.71
0.88,,,,,0.01,,,2277c73e-6987-467a-b5a2-e1c65fa7a1d4,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.06,,,,,0.01,,,06a4a2f0-188b-4735-ad22-6492d03862f9,0.01,0.16,0.0,0.1,0.01,0.1,,13.08
0.75,1.14,8.68,75.73,13.81,0.01,0.76,20.9,86062e52-fff8-4c23-93ef-1821bfd55dc7,0.01,0.14,16.4,0.04,0.01,0.17,1.35,12.77
0.93,0.73,-1.24,96.06,3.27,0.01,0.86,2.77,f8ef7498-1c81-4561-86ea-5015d54e38a1,0.0,0.04,2.83,-0.01,0.01,0.03,0.24,3.53
0.88,1.09,-0.87,91.72,14.29,0.01,1.08,14.47,48f21fa2-5f34-4b99-8468-d2275bea1873,0.01,0.15,16.05,-0.01,0.01,0.14,1.33,15.94
0.88,1.06,-0.55,83.18,14.82,0.01,1.06,14.69,afc02784-9448-4683-a23e-74dfeb4404ab,0.01,0.15,16.09,-0.01,0.01,0.14,1.34,15.94
0.93,,,,,0.01,,,d05d6d50-b789-4a8c-b513-a5123401ee0a,0.0,0.04,0.0,-0.01,0.01,0.03,,3.53
0.91,,,,,0.01,,,31a4e01f-4a92-4be1-a251-3aaa23fcec63,0.01,0.1,0.0,0.0,0.01,0.07,,7.87
0.9,,,,,0.01,,,8e414b53-969f-4331-b5d4-c11869db1735,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.39,1.32,0.83,36.12,1.3,0.01,0.28,6.33,40f477e1-fa3f-48c7-930f-72371335dbbe,0.0,0.04,2.2,0.01,0.0,0.02,0.18,2.7
0.96,1.26,1.26,95.6,7.22,0.01,0.87,10.66,5f6208f8-1143-41d0-bab1-cb2205edcbeb,0.01,0.09,9.72,-0.0,0.01,0.08,0.8,8.81
0.29,1.0,7.53,17.47,11.67,0.01,0.35,33.21,d73a3b92-a036-4c2b-879f-2badaf19b7c5,0.01,0.3,12.08,0.07,0.0,0.11,1.01,12.25
0.92,0.99,-0.47,94.1,4.12,0.01,1.07,3.81,894aad1d-0259-41c0-a547-870629416ab0,0.0,0.04,4.54,-0.01,0.01,0.04,0.38,4.22
0.9,1.15,-0.06,93.52,11.64,0.01,0.89,15.33,eeebfaab-ca96-441d-afc3-ce8ac1d0c610,0.01,0.14,14.05,-0.02,0.01,0.13,1.16,13.68
0.03,,,,,0.01,,,241798a3-d360-4eee-94bc-77770b1432ca,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.73,0.82,-4.78,81.46,17.99,0.01,1.28,10.92,a58c6776-fc83-4c3e-bea6-93009bbfbe62,0.01,0.11,14.43,-0.04,0.01,0.18,1.26,14.12
0.0,,,,,0.0,,,ba7f05a6-ac5f-4b5d-8897-ee0c2c08b0f0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0.82,0.69,1.84,92.74,14.57,0.01,0.89,10.66,7bba9af3-ca90-44cb-9dc6-09b65ef848fa,0.01,0.08,9.93,-0.0,0.01,0.19,0.88,8.92
0.54,,,,,-0.0,,,9c15b2d4-0c41-4cce-a0a5-2b02df031892,-0.0,-0.05,0.0,-0.04,0.01,0.09,,-2.76
0.88,1.06,-0.62,85.33,14.38,0.01,1.05,14.64,4a635948-f79d-4493-b106-24c9bffe3f5e,0.01,0.15,15.77,-0.01,0.01,0.14,1.31,15.94
0.91,0.65,1.33,90.91,15.18,0.01,0.92,9.92,45a491d3-2f59-4e03-aefa-1d5e00765d83,0.01,0.1,9.57,0.02,0.01,0.15,0.86,9.97
0.39,0.99,0.28,40.05,1.08,0.01,0.24,4.47,bb34d6b2-e2e4-4326-8d6c-7026fbf8c787,0.0,0.04,1.53,0.01,0.0,0.02,0.13,2.7
0.75,1.19,0.18,95.44,2.89,0.01,0.99,3.5,e210ec68-4a1d-41db-9634-71c3ea5274ef,0.0,0.05,3.93,0.01,0.01,0.03,0.33,4.56
0.93,0.5,-1.2,94.56,16.32,0.01,1.01,7.04,b5ab305f-c665-4dad-937d-9f1d8c94e9e2,0.01,0.08,7.54,-0.01,0.01,0.16,0.72,8.08
0.73,0.96,-1.34,74.56,18.05,0.01,1.23,13.83,2d8010e0-149a-4c9a-acf5-6938d1594b3c,0.01,0.13,17.43,-0.02,0.01,0.18,1.48,16.24
0.73,0.55,-1.6,45.82,7.95,0.01,0.66,6.3,f35c85c1-dfde-44c7-be89-e71701be49ec,0.01,0.09,4.62,-0.01,0.01,0.09,0.4,7.75
0.97,1.01,-0.97,95.68,12.06,0.01,1.45,8.34,437e18ab-1bc9-4ddb-8623-575ece3d1d5e,0.01,0.08,12.55,-0.02,0.02,0.12,1.05,12.09
0.93,0.5,-1.17,92.18,17.06,0.01,1.04,7.04,64922e0c-754e-448e-a2e2-97fa16006835,0.01,0.08,7.77,-0.01,0.01,0.16,0.75,8.08
0.75,1.75,1.94,64.62,2.33,0.01,0.66,6.32,dd202539-3e43-4136-bb05-79efdae14d71,0.0,0.05,4.64,0.01,0.01,0.03,0.38,4.56
0.84,0.92,5.09,92.73,14.31,0.01,0.88,14.82,a839e687-899a-4280-9bcc-41ad0d7d8186,0.01,0.14,13.42,0.05,0.01,0.16,1.14,13.31
0.88,0.92,-2.2,81.16,13.56,0.01,0.96,12.7,15747137-5f83-470b-a84e-c42adec0e50b,0.01,0.15,12.69,-0.01,0.01,0.14,1.08,15.94
0.82,1.16,0.65,86.48,13.7,0.01,1.0,16.08,b2e2676e-949a-45e6-a50f-789ffee2635c,0.01,0.14,16.58,-0.02,0.01,0.16,1.36,15.7
0.82,0.96,-2.2,83.26,16.36,0.01,1.18,13.11,1be06eb6-da83-4424-b54f-3134408a153f,0.01,0.14,15.86,-0.02,0.01,0.16,1.35,15.7
0.73,0.77,-5.21,77.85,18.31,0.01,1.27,10.46,13c9f7cf-5361-432f-b116-326a28531ef8,0.01,0.11,13.77,-0.04,0.01,0.18,1.22,14.12
0.95,,,,,0.01,,,8aa68bae-f663-4e65-a79f-eb4067f3433e,0.01,0.08,0.0,-0.02,0.01,0.12,,12.02
0.39,1.64,1.8,58.04,2.34,0.01,0.63,6.24,482ee1b6-315b-4cd5-b2dd-7458cacf6788,0.0,0.04,4.39,0.01,0.0,0.02,0.36,2.7
0.94,,,,,0.01,,,d3e481a7-735f-4da7-bb9f-bad8755524c1,0.01,0.14,0.0,-0.01,0.01,0.13,,14.54
0.94,1.19,1.05,86.78,6.79,0.01,0.78,10.51,da0794ff-1c0a-4603-8774-8b8701491252,0.01,0.09,8.64,-0.0,0.01,0.08,0.71,9.23
0.89,,,,,0.01,,,2c80d2e8-b2e8-45b8-a450-3d9a8a336209,0.01,0.07,0.0,-0.02,0.01,0.1,,8.38
0.85,0.9,-3.43,88.69,14.92,0.01,1.11,11.83,9075edb3-c052-4e2d-b4f5-c4cfb29ce74c,0.01,0.12,13.55,-0.03,0.01,0.16,1.16,14.46
0.76,0.99,-1.68,86.25,13.31,0.01,0.98,13.38,379ef1d1-624a-4c8f-8ea7-c184c370fac6,0.01,0.12,13.49,-0.03,0.01,0.17,1.13,14.67
0.75,0.84,4.08,89.21,14.37,0.01,0.86,13.57,37c0be12-5bd6-406c-9c8d-33003465ede2,0.01,0.14,12.14,0.04,0.01,0.17,1.04,12.77
0.39,0.86,0.07,50.5,1.91,0.01,0.48,3.44,569d91cd-cd69-4035-b727-e57c75f9c309,0.0,0.04,2.11,0.01,0.0,0.02,0.18,2.7
0.0,,,,,0.01,,,5c6e1a60-e17d-4d7e-8851-741409fd05af,0.01,4.68,0.0,0.06,0.0,0.05,,6.69
0.9,1.08,-1.11,95.01,12.86,0.01,0.99,14.14,b469fb49-73a5-409a-a163-66be5995f8a9,0.01,0.14,14.42,-0.02,0.01,0.13,1.2,13.68
0.81,0.58,-1.03,84.06,2.11,0.01,0.68,1.78,f9ccd8ce-0aa2-4b94-9b88-9ba1efae3ed8,0.0,0.03,1.66,-0.01,0.01,0.03,0.14,2.53
0.92,1.0,-0.95,97.5,9.44,0.01,1.15,8.19,fdaffce4-7481-45f2-a2ee-9409bb256337,0.01,0.09,9.84,-0.0,0.01,0.09,0.82,9.98
0.9,,,,,0.01,,,495ea092-f771-473b-b92d-a186b98a1918,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.84,,,,,0.01,,,a997ea74-f562-4bd8-90dd-5fc358f9b707,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.94,0.98,-2.49,94.36,13.54,0.01,1.04,12.69,56481ff2-c1a4-499a-aba3-9c328c946e64,0.01,0.14,13.61,-0.01,0.01,0.13,1.14,14.54
0.87,1.33,1.28,90.98,4.63,0.01,0.54,11.56,228825f9-d0d1-4999-b778-875be734a3e2,0.01,0.1,6.74,0.01,0.01,0.05,0.55,6.62
0.82,0.92,-3.47,90.38,15.49,0.01,1.16,11.94,7d9bd777-c80c-4d9f-bb4b-92c3f1a75e1b,0.01,0.14,14.31,-0.02,0.01,0.16,1.22,15.7
0.91,0.72,2.36,94.16,16.18,0.01,1.0,10.91,18a346f1-cf80-41fd-9524-2c7c38437e7a,0.01,0.1,11.32,0.02,0.01,0.15,1.01,9.97
0.81,1.39,0.88,76.52,2.28,0.01,0.7,4.59,d552d2c2-55bc-4110-81bc-4f7b65332cd0,0.0,0.03,3.68,-0.01,0.01,0.03,0.3,2.53
0.64,1.12,0.18,86.23,2.56,0.01,0.64,4.55,83ea3957-6830-4569-8193-c7b2a08440fe,0.0,0.04,3.35,-0.0,0.0,0.01,0.28,1.72
0.28,,,,,0.01,,,c15869a6-848f-4237-8ea0-84bd7647bbd6,0.0,0.11,0.0,0.01,0.01,0.06,,3.95
0.71,0.42,-5.62,70.22,19.02,0.0,1.14,5.58,35888f63-9dc7-425e-be3c-becd2e5bc6bb,0.01,0.06,6.84,-0.06,0.01,0.21,0.7,7.52
0.97,0.96,-1.74,97.18,12.69,0.01,1.54,7.82,6ba2b880-e49a-49c0-b840-f3eb8f3cf4b8,0.01,0.08,12.49,-0.02,0.02,0.12,1.05,12.09
0.84,0.94,5.82,84.57,14.67,0.01,0.86,15.8,c908f623-41d8-42d6-a225-4a67cd257832,0.01,0.14,13.98,0.04,0.01,0.14,1.19,11.79
0.54,,,,,0.01,,,f680c9ee-25e2-46a0-8043-3af45ba6e939,0.01,0.11,0.0,-0.02,0.01,0.1,,7.08
0.89,0.69,-2.79,81.57,8.79,0.01,0.98,5.96,774f1dfe-24e8-4ecf-bec3-b253fe98f950,0.01,0.07,6.27,-0.02,0.01,0.1,0.54,8.38
0.94,,,,,0.01,,,8b0996a9-04c0-4074-a52d-09898c692621,0.01,0.08,0.0,-0.0,0.01,0.16,,8.43
0.76,0.85,-3.59,77.42,17.73,0.01,1.23,11.8,e962b204-b4be-4adc-9507-4ec81d31e3bc,0.01,0.12,14.95,-0.03,0.01,0.17,1.3,14.67
0.63,,,,,0.01,,,a562978b-4393-41af-ab8b-a56a65e82492,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.82,0.58,0.61,85.18,18.87,0.01,1.1,8.65,aea81ed9-99d7-4f16-98e7-4f78f892b752,0.01,0.08,10.01,-0.0,0.01,0.19,0.94,8.92
0.07,,,,,0.01,,,f1b350fe-e02f-43ea-8d44-42a33e6a8cf5,0.0,0.14,0.0,0.04,0.0,0.04,,4.99
0.39,1.17,0.87,30.18,1.6,0.01,0.31,6.11,56d6318c-67a7-44cf-be74-75177a9788d6,0.0,0.04,2.36,0.01,0.0,0.02,0.2,2.7
0.73,1.03,0.42,70.19,16.82,0.01,1.11,15.48,ce47f231-0fb3-4d61-8f52-e1bcd30fd994,0.01,0.13,17.64,-0.02,0.01,0.18,1.48,16.24
0.0,,,,,0.01,,,1752f544-5575-413f-9df0-c91344d8d231,0.01,4.68,0.0,0.06,0.0,0.05,,6.69
0.63,,,,,0.01,,,f4a598ba-5fc7-40f5-97c9-0be91b083e0d,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.94,0.61,0.5,95.66,16.32,0.01,1.01,8.86,2505f986-16ee-43b2-9f3c-15b003651d4b,0.01,0.08,9.43,-0.0,0.01,0.16,0.86,8.43
0.82,,,,,0.01,,,4a75acf8-13d7-47cd-9c3e-d8934d255c47,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
,,,,,,,,08724ee2-1db7-47a4-9040-53729663f0c3,,,,,,,,
0.91,1.31,1.3,95.63,5.8,0.01,0.7,11.08,f50c4159-3999-49ab-9ae2-d9bec4350f05,0.01,0.1,8.2,0.0,0.01,0.07,0.67,7.87
0.63,,,,,0.01,,,bea709ae-0c8c-4d6d-91b3-63cd4a905a64,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.9,0.99,-2.47,96.11,13.63,0.01,1.05,12.77,fec422b6-a9c7-4d2e-a588-71c8e6da68b7,0.01,0.14,13.9,-0.02,0.01,0.13,1.17,13.68
0.87,0.92,5.81,82.78,14.91,0.01,0.86,15.72,f32ed535-dba0-4705-91c9-208c9ec06010,0.01,0.09,14.0,0.0,0.01,0.17,1.19,9.26
0.71,,,,,0.0,,,983cf127-a7a6-45c4-b98d-de50ccd896f0,0.01,0.06,0.0,-0.06,0.01,0.21,,7.52
0.88,,,,,0.01,,,cd8a7cfb-a9a8-467d-85c9-4291d4aa797a,0.01,0.1,0.0,0.01,0.01,0.17,,10.05
0.88,,,,,0.01,,,4728bb83-86a0-4dd4-8b3a-8b58ed9bf15d,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.76,,,,,0.01,,,fe0a9bf2-259b-456c-a0e4-9bf8605be539,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.75,1.22,0.38,88.89,2.93,0.01,0.98,3.72,106f5441-20cd-46a4-ab4f-62d9e4423edc,0.0,0.05,4.07,0.01,0.01,0.03,0.34,4.56
0.94,0.46,-1.51,93.1,14.64,0.01,0.9,6.61,98e23d7a-a06c-439a-af66-9f81a0a33cd7,0.01,0.08,6.37,-0.0,0.01,0.16,0.61,8.43
0.21,1.62,5.99,8.91,4.65,0.01,0.49,15.94,f7c0c23f-6bb7-42cf-be54-2e0128b4e3d0,0.01,-0.02,8.24,0.04,0.01,0.05,0.67,6.69
0.76,0.84,-3.73,79.74,16.17,0.01,1.14,11.47,1fafe7cc-eaf5-4bbc-8535-32cb6773c284,0.01,0.12,13.5,-0.03,0.01,0.17,1.17,14.67
0.93,1.05,0.58,79.7,10.55,0.01,1.16,9.56,b7d32f04-730b-4754-98a9-f8aa8df564a1,0.01,0.08,11.51,-0.01,0.01,0.11,0.96,11.09
0.82,0.68,-5.23,76.34,14.46,0.01,1.0,9.33,0f4266e9-1ebc-49a5-bf1c-7a58887ca307,0.01,0.14,9.73,-0.02,0.01,0.16,0.86,15.7
0.17,,,,,0.01,,,890088f9-49db-4081-86d8-2563e7d838be,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.73,0.98,-0.83,72.63,18.19,0.01,1.22,14.28,cb7584dd-c73c-4c34-a35d-ad864560a9f5,0.01,0.13,17.87,-0.02,0.01,0.18,1.52,16.24
0.75,1.48,2.23,56.86,3.61,0.01,0.96,5.71,f2138c15-a8c6-4e76-b9f4-577ef1161a47,0.0,0.05,5.93,0.01,0.01,0.03,0.49,4.56
0.71,0.28,-9.12,72.73,20.33,0.0,1.24,2.97,8ef61622-5943-4652-b687-91f54566de3a,0.01,0.06,4.15,-0.06,0.01,0.21,0.51,7.52
0.73,,,,,0.01,,,da6d3e19-0b30-4f27-a84e-f554b6438a66,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.95,0.84,-1.11,95.94,4.14,0.01,1.09,3.2,752bb8c7-a189-42c5-b085-a73c2674e9bd,0.0,0.04,3.93,-0.01,0.01,0.04,0.33,4.03
0.85,0.84,-4.05,83.78,15.68,0.01,1.13,11.21,d25ec143-ae05-4a1a-86cc-6eea0af3a1f4,0.01,0.12,13.13,-0.03,0.01,0.16,1.14,14.46
0.63,,,,,0.01,,,1d175018-67ea-4c5d-94a3-b835aab65300,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.94,1.22,1.02,96.48,8.24,0.01,1.0,10.21,f3465748-dfe3-43e7-99a7-6a4e638941d6,0.01,0.09,10.63,-0.0,0.01,0.08,0.87,9.23
0.85,1.05,-0.97,88.07,13.44,0.01,1.0,14.24,4ff0841f-84dd-4f52-915f-a0f2cd22e7be,0.01,0.13,14.62,-0.03,0.01,0.15,1.22,14.51
0.81,0.71,-0.78,80.39,2.36,0.01,0.75,2.24,423e08a1-05e0-4666-affd-c29b14fcfb32,0.0,0.03,2.12,-0.01,0.01,0.03,0.18,2.53
0.81,0.03,-3.07,85.16,2.97,0.01,0.96,0.06,f6f37dbf-9089-4a92-949f-08fd36e1c65d,0.0,0.03,0.5,-0.01,0.01,0.03,0.05,2.53
0.17,0.93,3.96,14.25,8.06,0.01,1.07,6.96,fc0d9dba-65f0-4e45-a38f-3fcea251d7dc,0.01,0.07,7.87,0.04,0.01,0.08,0.66,8.24
0.84,0.42,2.95,92.26,16.82,0.01,0.86,6.81,eb5b48b1-ae9a-434a-8f1f-287a50a699d6,0.01,0.14,6.2,0.04,0.01,0.14,0.62,11.79
0.76,0.79,-5.5,82.37,18.25,0.01,1.3,10.38,1968ab1a-0c90-4811-a718-50340bcbe787,0.01,0.12,13.99,-0.03,0.01,0.17,1.23,14.67
0.68,0.97,3.99,71.18,16.04,0.01,0.97,15.73,ba8ffc0a-98f5-406d-aec4-6fe01f4e402e,0.02,0.18,15.73,0.06,0.01,0.18,1.33,18.72
0.08,,,,,0.0,,,92c571a3-9fed-4e37-ab4d-c8196a4e66dc,0.0,0.03,0.0,0.0,0.01,0.12,,3.94
0.61,0.38,-0.36,51.78,0.8,0.01,0.2,1.48,50a581de-be4a-4f46-95fa-85eebe3e2bd8,0.0,0.02,0.74,-0.0,0.0,0.01,0.06,1.23
0.94,1.26,1.25,90.89,10.38,0.01,0.78,17.16,b198591b-d1f9-424c-adc4-4612da27e484,0.01,0.14,13.83,-0.01,0.01,0.13,1.13,14.54
0.81,0.86,-0.75,94.86,2.79,0.01,0.96,2.51,40fd88e9-4fa6-475b-ac89-faaed35e5ccd,0.0,0.03,2.85,-0.01,0.01,0.03,0.24,2.53
0.39,,,,,0.01,,,35560e9b-1aef-4a14-b5d8-5084dd15873a,0.0,0.04,0.0,0.01,0.0,0.02,,2.7
0.82,-0.11,-2.15,89.2,18.5,-0.0,1.08,-3.38,e0ca1b99-fa88-469b-a237-53669bf33ef6,-0.0,-0.05,-3.22,-0.02,0.01,0.15,-0.13,-3.06
0.82,0.41,-2.42,84.64,18.1,0.01,1.06,5.64,b79acc34-866b-4f12-afe7-5ee025fb319f,0.01,0.08,6.41,-0.0,0.01,0.19,0.65,8.92
0.91,0.66,1.29,95.96,15.48,0.01,0.96,9.84,e443d828-bc20-493e-9ad5-6f7f92b82f60,0.01,0.1,9.92,0.02,0.01,0.15,0.89,9.97
0.82,0.97,-2.6,90.29,15.48,0.01,1.16,12.79,85688937-e50e-40c2-9708-e4a47f4dec59,0.01,0.14,15.27,-0.02,0.01,0.16,1.29,15.7
0.76,0.93,-1.96,76.02,16.97,0.01,1.17,13.22,7bdb2a1d-f6d5-4bc4-b0d2-96b2d1d478b5,0.01,0.12,15.87,-0.03,0.01,0.17,1.35,14.67
0.93,0.91,-0.63,93.96,3.35,0.01,0.87,3.51,845aa790-fa33-4d26-9941-7270dd66d781,0.0,0.04,3.51,-0.0,0.01,0.04,0.29,4.08
0.81,1.31,2.63,76.44,7.76,0.01,0.84,12.43,0c82fc9c-4578-40c2-9e1c-3982a969bdf6,0.01,-0.14,10.84,0.01,0.0,0.05,0.89,6.24
0.94,0.3,-5.1,84.4,21.19,0.01,1.24,3.47,fdfed77c-c48a-4e0f-98c4-ba0a43745a4b,0.01,0.08,4.74,-0.0,0.01,0.16,0.57,8.43
