category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,tag,5_years_return_category
0.89,0.91,1.93,86.07,7.62,0.01,1.06,6.48,0.64,0.0,0.04,7.68,-0.01,0.01,0.08,157382,5.12
0.15,,,,,0.0,,,,0.0,0.05,0.0,0.01,0.01,0.07,44135,3.37
0.71,0.26,1.31,70.7,14.56,0.0,1.02,2.77,0.38,0.0,0.02,3.62,0.0,0.01,0.15,249605,2.61
0.71,0.44,3.78,65.54,13.6,0.0,0.92,5.76,0.57,0.0,0.02,6.09,0.0,0.01,0.15,101798,2.61
0.93,0.89,-0.25,99.99,11.22,0.01,1.0,9.83,0.9,0.01,0.08,10.66,-0.02,0.01,0.12,156338,8.91
0.84,0.94,0.9,81.39,2.72,0.01,0.86,3.01,0.28,0.0,0.02,3.39,0.0,0.01,0.03,64178,2.51
0.89,0.23,0.51,85.34,12.84,0.0,0.99,2.19,0.31,0.0,-0.0,2.96,-0.02,0.01,0.12,250010,0.62
0.81,-0.34,-9.47,62.76,19.0,0.0,1.25,-6.36,-0.47,0.0,0.01,-7.16,-0.01,0.01,0.13,96101,1.59
0.84,-0.16,-6.56,67.11,8.97,0.0,1.1,-1.62,-0.05,0.0,0.02,-0.98,-0.03,0.01,0.08,203894,3.01
0.96,0.6,-1.0,96.52,10.23,0.01,1.51,3.81,0.57,0.01,0.04,6.56,-0.01,0.01,0.1,122624,6.49
0.03,0.44,2.06,1.1,5.59,0.01,0.2,11.47,0.27,0.0,0.11,3.15,0.02,0.0,0.05,208331,3.45
0.65,0.25,-8.87,66.75,17.77,0.01,1.3,2.2,0.43,0.01,0.06,3.66,-0.03,0.01,0.17,163835,8.45
0.86,0.83,0.37,77.45,14.46,0.01,1.14,10.2,1.07,0.01,0.1,12.39,-0.0,0.01,0.13,142802,11.26
0.47,0.12,-2.19,41.53,6.6,0.0,0.64,0.93,0.13,0.0,0.02,1.4,-0.01,0.0,0.05,96326,1.36
0.71,0.11,-0.98,70.68,15.62,0.0,1.09,0.47,0.21,0.0,0.02,1.31,0.0,0.01,0.15,105326,2.61
0.65,0.36,-4.15,37.15,21.06,0.01,1.14,4.8,0.7,0.01,0.06,6.3,-0.03,0.01,0.17,135791,8.45
0.03,0.61,2.52,2.71,5.09,0.01,0.29,10.36,0.32,0.0,0.11,3.83,0.02,0.0,0.05,107216,3.45
0.86,0.69,-2.01,86.25,12.75,0.01,1.06,7.91,0.8,0.01,0.07,9.18,-0.03,0.01,0.11,227708,7.2
0.78,-0.06,-2.32,57.95,10.97,0.0,0.7,-1.74,0.02,0.01,0.06,-0.41,0.04,0.01,0.11,251000,5.89
0.6,0.15,-9.13,62.96,15.86,0.0,1.12,1.02,0.26,0.0,0.03,1.95,-0.07,0.01,0.16,216197,3.94
0.86,1.03,2.77,83.97,13.98,0.01,1.14,12.65,1.27,0.01,0.1,15.29,-0.0,0.01,0.13,170315,11.26
0.78,0.39,2.64,80.14,12.71,0.0,0.95,4.51,0.48,0.01,0.06,5.07,0.04,0.01,0.11,99053,5.89
0.9,0.2,0.09,94.51,11.66,0.0,0.94,1.86,0.27,0.0,0.01,2.56,-0.0,0.01,0.12,236249,2.1
0.71,0.17,-0.09,77.27,16.18,0.0,1.18,1.31,0.3,0.0,0.02,2.35,0.0,0.01,0.15,117890,2.61
0.7,0.72,0.54,72.15,3.91,0.01,1.16,2.4,0.3,0.0,0.03,3.59,0.01,0.01,0.04,181934,3.58
0.89,0.77,0.38,95.26,4.76,0.01,0.7,5.2,0.37,0.0,0.04,4.44,-0.01,0.01,0.06,228392,3.69
0.88,0.68,0.1,85.34,3.91,0.01,0.54,4.83,0.29,0.0,0.05,3.42,-0.0,0.01,0.04,107495,3.45
0.8,,,,,0.0,,,,0.01,0.05,0.0,-0.04,0.01,0.13,37106,6.34
0.97,0.59,-0.94,96.43,2.58,0.01,0.84,1.79,0.19,0.0,0.03,2.31,-0.0,0.01,0.03,88955,3.01
0.6,0.58,-1.81,60.47,14.34,0.0,1.0,7.7,0.77,0.0,0.03,8.48,-0.07,0.01,0.16,224270,3.94
0.95,0.67,-0.26,97.5,8.9,0.01,1.32,4.34,0.56,0.0,0.04,6.53,-0.01,0.01,0.08,135467,5.56
0.32,0.57,0.18,44.69,1.65,0.0,0.38,2.43,0.14,0.0,0.0,1.72,-0.01,0.01,0.05,114929,1.1
0.94,0.7,-0.68,98.51,2.66,0.01,0.88,2.14,0.22,0.0,0.02,2.67,-0.0,0.01,0.03,180989,2.99
0.81,-0.8,-2.0,89.84,11.45,-0.01,0.71,-13.18,-0.69,-0.01,-0.13,-8.58,-0.01,0.01,0.12,151397,-8.35
0.86,0.73,-1.55,85.89,13.49,0.01,1.12,8.42,0.89,0.01,0.1,10.21,-0.0,0.01,0.13,138671,11.26
0.93,0.94,0.6,94.09,10.88,0.01,0.94,10.78,0.92,0.01,0.08,10.96,-0.02,0.01,0.12,127871,8.91
0.28,0.55,4.0,24.32,14.2,0.01,0.63,11.27,0.72,0.01,0.12,7.94,0.04,0.01,0.14,60452,8.29
0.65,0.09,-8.84,52.34,15.61,0.0,1.01,0.26,0.19,0.01,0.04,1.07,-0.06,0.01,0.15,214154,5.62
0.28,0.52,3.52,25.48,14.37,0.01,0.66,10.28,0.69,0.01,0.12,7.54,0.04,0.01,0.14,245861,8.29
0.21,0.58,8.44,23.4,17.39,0.01,0.7,12.98,0.91,0.01,0.12,9.9,0.08,0.01,0.2,74717,8.86
,,,,,,,,,,,-0.44,,,,179180,3.16
0.83,0.25,0.65,90.26,11.56,0.0,0.91,2.48,0.31,0.0,0.03,3.07,0.01,0.01,0.12,177857,3.86
0.65,0.6,-0.21,44.15,17.36,0.0,1.03,9.02,0.93,0.01,0.04,10.1,-0.06,0.01,0.15,114461,5.62
0.32,-0.21,-3.42,19.41,6.75,0.0,1.04,-1.56,-0.05,0.0,0.0,-0.82,-0.01,0.01,0.05,32768,1.1
0.65,0.64,-2.44,75.02,15.74,0.01,1.22,7.55,0.9,0.01,0.06,10.0,-0.03,0.01,0.17,137897,8.45
0.95,,,,,0.01,,,,0.0,0.05,0.0,-0.0,0.01,0.05,191186,4.42
0.86,0.48,-4.46,88.97,11.87,0.01,1.0,5.22,0.55,0.01,0.07,6.03,-0.03,0.01,0.11,251639,7.2
0.89,-0.03,-2.75,92.36,12.11,0.0,0.97,-1.14,0.04,0.0,-0.0,-0.3,-0.02,0.01,0.12,118322,0.62
0.85,0.29,-0.41,58.68,1.76,0.0,0.47,1.06,0.11,0.0,0.01,1.3,-0.0,0.01,0.02,103184,1.86
0.12,0.94,1.1,59.08,2.63,0.01,0.71,3.51,0.27,0.0,-0.13,3.31,0.01,-0.0,0.03,224423,2.04
0.95,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.08,249299,5.56
0.68,0.46,-1.69,95.12,7.3,0.0,1.07,2.93,0.34,0.0,0.03,3.93,-0.02,0.01,0.08,102518,3.06
0.55,,,,,0.0,,,,0.0,0.02,0.0,-0.03,0.01,0.09,64016,2.75
0.89,0.83,0.75,95.78,5.22,0.01,0.77,5.64,0.43,0.0,0.04,5.13,-0.01,0.01,0.06,194894,3.69
0.96,0.65,-0.33,96.9,7.43,0.01,1.1,4.26,0.47,0.0,0.04,5.49,-0.0,0.01,0.07,167183,5.09
0.71,,,,,0.0,,,,0.0,0.02,,0.0,0.01,0.15,221534,
0.53,0.52,1.04,61.74,11.51,0.0,0.82,6.78,0.57,0.01,0.07,6.33,0.01,0.01,0.12,122165,6.08
0.64,0.95,7.23,72.65,15.04,0.01,1.16,12.15,1.26,0.01,0.12,14.88,0.08,0.01,0.16,175130,15.26
0.89,0.66,-0.16,92.3,8.14,0.01,1.18,4.4,0.51,0.0,0.04,5.98,-0.01,0.01,0.06,33020,3.69
0.95,0.8,-0.4,98.2,2.53,0.01,0.83,2.44,0.24,0.0,0.02,2.84,-0.01,0.01,0.03,58823,2.77
0.94,0.56,-0.94,98.07,6.96,0.01,1.04,3.64,0.39,0.0,0.04,4.57,-0.0,0.01,0.06,132020,4.58
0.78,0.59,-3.17,80.52,13.67,0.01,1.1,6.74,0.74,0.01,0.07,8.18,-0.03,0.01,0.14,243773,8.99
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.06,158795,3.69
0.95,0.62,-0.62,96.76,8.76,0.01,1.3,4.04,0.52,0.0,0.04,6.04,-0.01,0.01,0.08,49976,5.56
0.65,0.69,0.02,56.66,13.07,0.01,0.88,9.7,0.82,0.01,0.06,9.33,-0.03,0.01,0.17,248399,8.45
0.94,0.69,-1.06,96.62,3.99,0.01,1.3,2.09,0.3,0.0,0.03,3.52,-0.0,0.01,0.03,160388,3.88
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,246473,8.91
0.5,0.6,3.13,49.83,14.4,0.01,0.92,8.71,0.79,0.01,0.09,8.81,0.04,0.01,0.17,73457,10.02
0.78,0.42,2.41,80.98,10.33,0.0,0.77,5,0.43,0.01,0.06,4.67,0.04,0.01,0.11,41372,5.89
0.32,1.1,1.44,59.5,2.51,0.0,0.68,4.11,0.3,0.0,0.0,3.59,-0.01,0.01,0.05,220211,1.1
0.65,0.61,-1.84,67.79,12.65,0.0,0.93,7.69,0.71,0.01,0.04,7.95,-0.06,0.01,0.15,38690,5.62
0.86,0.51,-1.65,82.16,15.5,0.0,4.92,1.43,0.73,0.0,0.01,7.82,-0.02,0.03,0.1,242828,5.34
0.53,0.34,2.82,70.2,16.29,0.0,1.14,3.88,0.53,0.01,0.06,5.21,0.06,0.01,0.21,229265,7.57
0.84,0.57,-0.24,94.62,2.61,0.01,0.89,1.66,0.19,0.0,0.02,2.28,0.0,0.01,0.03,113048,2.51
0.47,-0.21,-3.79,72.04,4.69,0.0,0.6,-1.81,-0.01,0.0,0.02,-0.28,-0.01,0.0,0.05,69200,1.36
0.12,0.66,1.52,0.01,2.28,0.01,-0.01,-231.27,0.19,0.0,-0.13,2.31,0.01,-0.0,0.03,139364,2.04
0.71,0.14,-0.53,76.36,14.74,0.0,1.07,0.97,0.24,0.0,0.02,1.84,0.0,0.01,0.15,32939,2.61
0.64,0.8,5.55,68.63,15.92,0.01,1.19,10.29,1.13,0.01,0.12,13.07,0.08,0.01,0.16,69938,15.26
0.01,,,,,0.01,,,,0.0,-0.1,0.0,0.02,-0.0,0.03,142487,2.84
0.79,0.54,-3.96,85.6,12.81,0.0,1.06,5.92,0.64,0.01,0.05,7.07,-0.05,0.01,0.13,35891,5.87
0.03,0.46,1.8,3.2,5.41,0.01,0.34,6.98,0.27,0.0,0.11,3.17,0.02,0.0,0.05,27062,3.45
0.78,0.58,3.47,73.99,8.49,0.0,0.61,7.78,0.48,0.01,0.06,5.54,0.04,0.01,0.11,73124,5.89
0.01,0.58,1.88,2.6,2.73,0.01,-0.15,-10.15,0.2,0.0,-0.1,2.37,0.02,-0.0,0.03,191348,2.84
0.93,0.78,-1.38,97.28,11.16,0.01,0.98,8.56,0.79,0.01,0.08,9.23,-0.02,0.01,0.12,154079,8.91
0.94,0.93,-0.06,96.14,2.99,0.01,0.97,2.87,0.3,0.0,0.02,3.59,-0.0,0.01,0.03,40571,2.99
0.55,0.11,-7.6,66.36,11.94,0.0,0.87,0.67,0.17,0.0,0.02,1.39,-0.03,0.01,0.09,196937,2.75
0.97,,,,,0.01,,,,0.01,0.07,0.0,0.0,0.01,0.09,160199,9.53
0.93,0.86,-0.11,89.87,10.56,0.01,0.9,9.93,0.82,0.01,0.08,9.69,-0.02,0.01,0.12,139823,8.91
0.03,0.45,1.71,3.42,5.28,0.01,0.34,6.68,0.26,0.0,0.11,3.08,0.02,0.0,0.05,68507,3.45
0.79,,,,,0.0,,,,0.01,0.05,0.0,-0.05,0.01,0.13,235664,5.87
0.52,1.07,1.32,0.98,1.2,0.01,-0.04,-31.23,0.17,0.0,0.03,2.06,0.0,0.0,0.01,197117,1.45
0.89,0.63,-0.02,80.76,7.5,0.01,1.01,4.52,0.46,0.0,0.04,5.39,-0.01,0.01,0.08,145340,5.12
0.12,0.4,0.68,2.03,2.24,0.01,0.11,7.91,0.14,0.0,-0.13,1.69,0.01,-0.0,0.03,131597,2.04
0.92,0.86,-0.15,89.95,2.6,0.01,0.82,2.74,0.25,0.0,0.03,3.06,-0.0,0.01,0.03,83897,3.16
0.88,0.74,0.66,87.24,8.08,0.01,1.13,5.16,0.57,0.0,0.03,6.65,-0.01,0.01,0.09,80729,5.32
0.71,0.09,-1.28,74.88,15.06,0.0,1.09,0.25,0.18,0.0,0.02,1.07,0.0,0.01,0.15,193004,2.61
0.93,0.55,-4.14,87.21,13.49,0.01,1.13,5.96,0.68,0.01,0.08,7.51,-0.02,0.01,0.12,220931,8.91
0.95,0.6,-0.54,97.4,5.83,0.01,0.86,3.96,0.36,0.0,0.05,4.23,-0.0,0.01,0.05,174842,4.42
0.15,-0.04,-1.44,5.67,7.23,0.0,0.6,-0.89,0.04,0.0,0.05,0.27,0.01,0.01,0.07,141821,3.37
0.83,0.23,0.54,86.38,13.15,0.0,1.02,2.17,0.32,0.0,0.03,3.01,0.01,0.01,0.12,111149,3.86
0.86,1.03,3.37,76.25,14.27,0.01,1.11,13.26,1.29,0.01,0.1,15.52,-0.0,0.01,0.13,77813,11.26
0.79,0.64,-2.3,84.68,11.77,0.0,0.97,7.42,0.7,0.01,0.05,8.0,-0.05,0.01,0.13,28727,5.87
0.03,0.67,1.46,26.51,4.5,0.01,0.81,3.7,0.32,0.0,0.11,3.8,0.02,0.0,0.05,213569,3.45
0.84,0.44,-1.99,97.21,7.91,0.0,1.17,2.79,0.36,0.0,0.02,4.07,-0.03,0.01,0.08,40319,3.01
0.86,0.64,-1.82,79.87,10.12,0.01,0.81,7.6,0.6,0.01,0.07,6.94,-0.03,0.01,0.11,202076,7.2
0.52,,,,,0.01,,,,0.0,0.03,0.0,0.0,0.0,0.01,221003,1.45
0.86,0.57,-3.35,87.82,11.61,0.01,0.97,6.3,0.62,0.01,0.07,6.93,-0.03,0.01,0.11,93491,7.2
0.64,,,,,0.0,,,,0.0,0.05,0.0,0.03,0.01,0.13,31454,4.93
0.71,0.19,0.45,59.91,13.4,0.0,0.86,1.96,0.28,0.0,0.02,2.49,0.0,0.01,0.15,251270,2.61
0.83,0.38,2.27,85.14,11.52,0.0,0.88,4.38,0.44,0.0,0.03,4.68,0.01,0.01,0.12,90314,3.86
0.86,0.68,-2.48,95.65,11.56,0.01,1.01,7.39,0.72,0.01,0.1,8.26,-0.0,0.01,0.13,169280,11.26
0.53,0.51,1.46,48.41,11.7,0.0,0.74,7.38,0.56,0.01,0.07,6.22,0.01,0.01,0.12,38654,6.08
0.86,0.55,-3.28,72.96,14.15,0.01,1.08,6.5,0.71,0.01,0.1,7.82,-0.0,0.01,0.13,232091,11.26
0.83,0.92,3.16,82.8,10.58,0.0,0.83,11.55,0.83,0.0,0.03,9.76,0.01,0.01,0.12,83006,3.86
0.96,0.73,0.22,95.4,5.18,0.01,0.76,4.92,0.38,0.0,0.04,4.54,-0.0,0.01,0.07,134864,5.09
0.65,0.56,-2.33,56.76,18.09,0.01,1.22,7.3,0.91,0.01,0.06,9.69,-0.03,0.01,0.17,84248,8.45
0.86,0.56,-3.58,92.06,11.25,0.01,0.96,6.06,0.59,0.01,0.07,6.65,-0.03,0.01,0.11,161558,7.2
0.86,0.76,-0.06,70.36,15.81,0.01,1.18,9.66,1.07,0.01,0.1,12.24,-0.0,0.01,0.13,63458,11.26
0.78,0.63,-2.74,81.27,14.02,0.01,1.13,7.23,0.8,0.01,0.07,8.97,-0.03,0.01,0.14,211769,8.99
0.81,0.71,-0.66,90.72,3.15,0.01,1.0,2.25,0.26,0.0,0.04,3.06,0.01,0.01,0.04,172871,5.26
0.15,0.04,-2.52,31.39,7.32,0.0,1.43,0.0,0.09,0.0,0.05,0.81,0.01,0.01,0.07,213470,3.37
0.89,0.42,-1.78,86.39,7.6,0.01,1.06,2.81,0.33,0.0,0.04,3.79,-0.01,0.01,0.08,150362,5.12
0.32,1.16,2.02,45.59,2.87,0.0,0.68,4.97,0.34,0.0,0.0,4.17,-0.01,0.01,0.05,109259,1.1
0.88,0.33,-3.5,71.28,13.24,0.01,1.68,2.14,0.43,0.0,0.03,4.4,-0.01,0.01,0.09,173942,5.32
0.65,,,,,0.0,,,,0.01,0.04,0.0,-0.06,0.01,0.15,253583,5.62
0.78,,,,,0.0,,,,0.01,0.06,,0.04,0.01,0.11,69767,
0.9,,,,,0.0,,,,0.0,0.01,0.0,-0.0,0.01,0.12,238211,2.1
0.56,-0.02,-6.9,57.55,15.89,0.0,1.09,-1.41,0.04,0.0,-0.02,-0.73,-0.08,0.01,0.19,67373,-1.41
0.64,,,,,0.0,,,,0.0,0.05,0.0,0.03,0.01,0.13,61451,4.93
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.06,209447,3.69
0.9,0.15,-0.45,85.28,11.32,0.0,0.87,1.22,0.21,0.0,0.01,1.87,-0.0,0.01,0.12,51560,2.1
0.03,0.7,4.3,1.38,6.95,0.01,0.28,16.67,0.47,0.0,0.11,5.55,0.02,0.0,0.05,78182,3.45
0.89,0.34,-1.42,88.21,4.34,0.01,0.61,2.25,0.19,0.0,0.04,2.18,-0.01,0.01,0.06,160415,3.69
0.24,,,,,0.01,,,,0.0,0.0,0.0,0.01,0.0,0.03,106982,2.93
0.68,,,,,0.0,,,,0.0,0.05,0.0,-0.02,0.0,0.07,171404,3.54
0.84,,,,,0.01,,,,0.0,0.02,0.0,0.0,0.01,0.03,99602,2.51
0.93,0.69,-2.32,96.62,11.3,0.01,0.99,7.54,0.72,0.01,0.08,8.3,-0.02,0.01,0.12,156410,8.91
0.93,0.7,-2.22,94.34,11.43,0.01,0.99,7.76,0.73,0.01,0.08,8.38,-0.02,0.01,0.12,101969,8.91
0.84,-0.15,-7.76,55.01,11.52,0.0,1.28,-1.87,-0.08,0.0,0.02,-1.59,-0.03,0.01,0.08,113435,3.01
0.52,0.37,-0.16,49.98,1.52,0.01,0.37,1.49,0.11,0.0,0.03,1.36,0.0,0.0,0.01,223172,1.45
0.84,0.64,-0.08,97.66,2.74,0.01,0.95,1.86,0.21,0.0,0.02,2.56,0.0,0.01,0.03,141461,2.51
0.89,0.63,-0.36,92.27,8.08,0.01,1.16,4.23,0.49,0.0,0.04,5.73,-0.01,0.01,0.06,41993,3.69
0.65,0.37,-5.98,68.66,15.46,0.0,1.15,4.09,0.54,0.01,0.04,5.49,-0.06,0.01,0.15,147140,5.62
0.88,0.62,-0.52,94.87,8.19,0.01,1.2,4.1,0.49,0.0,0.03,5.72,-0.01,0.01,0.09,167318,5.32
0.93,0.58,-3.82,95.96,12.28,0.01,1.08,6.19,0.66,0.01,0.08,7.46,-0.02,0.01,0.12,97910,8.91
0.78,0.34,-6.6,78.31,13.96,0.01,1.1,3.45,0.46,0.01,0.07,4.61,-0.03,0.01,0.14,251864,8.99
0.52,0.23,-1.2,68.42,3.56,0.0,1.03,0.73,0.13,0.0,0.01,1.55,-0.01,0.01,0.04,95840,1.43
0.12,0.53,1.25,3.14,3.1,0.01,0.19,8.36,0.2,0.0,-0.13,2.4,0.01,-0.0,0.03,252701,2.04
0.93,0.79,-1.14,95.44,10.96,0.01,0.96,8.78,0.79,0.01,0.08,9.2,-0.02,0.01,0.12,173501,8.91
0.78,0.76,7.5,75.37,12.76,0.0,0.92,10.18,0.88,0.01,0.06,10.2,0.04,0.01,0.11,36692,5.89
0.84,0.48,-1.88,97.79,8.82,0.0,1.31,3.04,0.42,0.0,0.02,4.79,-0.03,0.01,0.08,217718,3.01
0.7,,,,,0.01,,,,0.0,0.03,0.0,0.01,0.01,0.04,208727,3.58
0.84,0.44,-0.49,82.66,2.68,0.01,0.85,1.34,0.16,0.0,0.02,1.95,0.0,0.01,0.03,233981,2.51
0.95,0.75,0.54,95.63,9.31,0.01,1.37,4.96,0.65,0.01,0.04,7.58,-0.01,0.01,0.09,78974,6.18
0.94,1.06,0.36,95.52,3.12,0.01,1.02,3.29,0.34,0.0,0.03,4.15,-0.0,0.01,0.03,245249,3.88
0.51,-0.21,-13.86,46.73,23.63,-0.0,1.46,-5.19,-0.35,-0.0,-0.04,-6.76,-0.11,0.01,0.2,72944,-4.25
0.93,0.62,-2.6,90.55,10.39,0.01,0.88,6.91,0.6,0.01,0.08,6.91,-0.02,0.01,0.12,26009,8.91
0.9,,,,,0.0,,,,0.0,0.01,0.0,-0.0,0.01,0.12,121931,2.1
0.76,0.75,0.29,92.8,4.18,0.01,0.61,5.13,0.33,0.0,0.04,3.91,-0.0,0.0,0.04,94175,2.81
0.86,0.39,-6.4,88.47,13.55,0.01,1.14,3.92,0.5,0.01,0.07,5.27,-0.03,0.01,0.11,231461,7.2
0.68,0.55,-2.58,85.38,8.7,0.0,0.72,6.28,0.46,0.0,0.05,5.32,-0.02,0.0,0.07,228401,3.54
0.93,0.87,-0.14,94.37,10.57,0.01,0.92,9.92,0.84,0.01,0.08,9.91,-0.02,0.01,0.12,40922,8.91
0.93,0.37,-5.91,91.04,11.72,0.01,1.0,3.71,0.43,0.01,0.08,4.51,-0.02,0.01,0.12,246887,8.91
0.84,0.49,0.04,89.66,3.27,0.01,1.05,1.49,0.16,0.0,0.02,1.94,0.0,0.01,0.03,131498,2.51
0.71,0.26,1.44,75.47,17.04,0.0,1.23,2.52,0.44,0.0,0.02,3.91,0.0,0.01,0.15,68444,2.61
0.47,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.0,0.05,221165,1.36
0.51,-0.19,-12.22,55.65,20.34,-0.0,1.37,-4.28,-0.26,-0.0,-0.04,-5.05,-0.11,0.01,0.2,101267,-4.25
0.89,,,,,0.0,,,,0.0,-0.0,0.0,-0.02,0.01,0.12,35963,0.62
0.65,0.38,-5.32,68.86,14.09,0.0,1.05,4.3,0.51,0.01,0.04,5.3,-0.06,0.01,0.15,252746,5.62
0.93,0.67,-2.45,94.5,11.09,0.01,0.96,7.32,0.68,0.01,0.08,7.86,-0.02,0.01,0.12,29006,8.91
0.96,0.72,0.3,95.41,9.46,0.01,1.39,4.76,0.63,0.01,0.04,7.41,-0.01,0.01,0.1,204830,6.35
0.78,0.3,1.28,70.48,9.53,0.0,0.67,3.76,0.31,0.01,0.06,3.31,0.04,0.01,0.11,75518,5.89
0.84,0.36,-1.53,88.22,5.04,0.0,0.71,2.4,0.22,0.0,0.02,2.52,-0.03,0.01,0.08,110015,3.01
0.4,0.02,-11.25,28.01,21.71,-0.0,1.16,-1.69,0.05,-0.01,-0.08,,-0.18,0.01,0.26,249524,
0.94,0.76,-0.58,98.22,2.84,0.01,0.93,2.29,0.25,0.0,0.02,2.94,-0.0,0.01,0.03,199547,2.99
0.8,,,,,0.0,,,,0.01,0.05,0.0,-0.04,0.01,0.13,48581,6.34
0.52,0.51,0.83,63.02,11.32,0.0,0.82,6.5,0.55,0.01,0.06,6.11,0.01,0.01,0.16,231290,6.69
0.64,,,,,0.0,,,,0.0,0.05,0.0,0.03,0.01,0.13,253538,4.93
0.6,0.3,-7.34,67.33,16.36,0.0,1.2,3.08,0.48,0.0,0.03,4.51,-0.07,0.01,0.16,49715,3.94
0.64,0.18,0.04,74.63,12.2,0.0,0.88,1.68,0.25,0.0,0.05,2.27,0.03,0.01,0.13,230876,4.93
0.95,0.53,-1.6,95.8,10.29,0.01,1.52,3.39,0.53,0.01,0.04,5.94,-0.01,0.01,0.1,123452,6.41
0.86,0.79,-0.6,86.35,10.61,0.01,0.88,9.3,0.77,0.01,0.07,9.0,-0.03,0.01,0.11,64538,7.2
0.86,0.97,-3.22,69.69,9.44,0.01,0.83,10.95,0.79,0.01,0.07,9.38,-0.03,0.01,0.11,215639,7.2
0.5,0.91,7.12,53.33,13.98,0.01,0.92,13.54,1.13,0.01,0.09,13.29,0.04,0.01,0.17,219851,10.02
0.89,-0.02,-2.62,91.92,11.88,0.0,0.95,-1.05,0.04,0.0,-0.0,-0.19,-0.02,0.01,0.12,234692,0.62
0.8,0.64,-2.95,92.14,12.39,0.0,1.06,7,0.73,0.01,0.05,8.25,-0.04,0.01,0.13,65609,6.34
0.84,1.01,1.17,84.79,3.02,0.01,0.98,3.17,0.32,0.0,0.02,3.89,0.0,0.01,0.03,251504,2.51
0.89,-0.04,-4.73,68.66,7.55,0.01,0.94,-0.65,0.04,0.0,0.04,0.19,-0.01,0.01,0.08,200195,5.12
0.71,0.11,-0.94,71.56,15.78,0.0,1.11,0.51,0.22,0.0,0.02,1.37,0.0,0.01,0.15,153071,2.61
0.86,0.93,1.51,79.81,12.98,0.01,1.03,11.54,1.07,0.01,0.1,12.73,-0.0,0.01,0.13,42344,11.26
0.78,0.61,-2.97,85.75,12.55,0.01,1.04,6.86,0.7,0.01,0.07,7.92,-0.03,0.01,0.14,184985,8.99
0.55,0.69,-0.6,67.31,10.46,0.0,0.77,9.07,0.67,0.0,0.02,7.76,-0.03,0.01,0.09,72638,2.75
0.93,0.8,-1.0,94.72,11.47,0.01,1.0,8.98,0.83,0.01,0.08,9.77,-0.02,0.01,0.12,105569,8.91
0.93,0.74,-1.79,97.2,11.53,0.01,1.02,8.15,0.78,0.01,0.08,9.09,-0.02,0.01,0.12,30707,8.91
0.16,0.79,7.46,11.5,12.36,0.01,0.38,24.99,0.88,0.01,0.25,10.27,0.06,0.0,0.12,117233,8.87
0.86,0.92,1.01,84.84,13.08,0.01,1.08,10.99,1.07,0.01,0.1,12.64,-0.0,0.01,0.13,28052,11.26
0.95,0.7,0.02,97.39,8.22,0.01,1.22,4.58,0.55,0.0,0.04,6.39,-0.01,0.01,0.08,158417,5.56
0.56,0.65,2.71,51.43,10.43,0.0,0.68,9.63,0.63,0.0,0.07,7.31,0.01,0.01,0.11,211904,5.35
0.78,0.69,-1.94,81.39,14.34,0.01,1.16,8.04,0.89,0.01,0.07,10.09,-0.03,0.01,0.14,173420,8.99
0.9,0.2,0.1,90.24,11.86,0.0,0.94,1.84,0.27,0.0,0.01,2.53,-0.0,0.01,0.12,119114,2.1
0.52,0.15,-1.49,69.88,3.57,0.0,1.04,0.46,0.11,0.0,0.01,1.29,-0.01,0.01,0.04,78272,1.43
0.03,0.62,2.59,4.2,5.41,0.01,0.39,8.44,0.35,0.0,0.11,4.08,0.02,0.0,0.05,83942,3.45
0.78,0.65,-2.05,72.96,15.66,0.01,1.2,7.85,0.91,0.01,0.07,10.18,-0.03,0.01,0.14,188234,8.99
0.03,0.28,0.56,0.0,2.05,0.0,0.0,347.59,0.11,0.0,0.32,1.35,0.01,0.0,0.03,43856,1.94
0.52,0.14,-1.38,59.41,3.54,0.0,0.95,0.44,0.11,0.0,0.01,1.23,-0.01,0.01,0.04,207935,1.43
0.84,0.43,-1.78,95.14,6.91,0.0,1.01,2.76,0.31,0.0,0.02,3.59,-0.03,0.01,0.08,136475,3.01
0.68,,,,,0.0,,,,0.0,0.03,0.0,-0.02,0.01,0.08,99638,3.06
0.71,0.47,5.01,71.23,16.74,0.0,1.18,5.75,0.72,0.0,0.02,7.57,0.0,0.01,0.15,44810,2.61
0.86,0.58,-2.99,75.85,13.69,0.01,1.06,6.82,0.73,0.01,0.1,8.06,-0.0,0.01,0.13,68408,11.26
0.86,0.75,-1.43,93.68,10.58,0.01,0.92,8.38,0.73,0.01,0.07,8.47,-0.03,0.01,0.11,185093,7.2
